,result,table,_start,_stop,_time,_measurement,id_board,air_temp,humidity,light_lux,pressure,soil_moisture,tds,water_temp
0,_result,0,2026-06-30 15:54:00+00:00,2026-06-30 16:22:51.166903+00:00,2026-06-30 15:55:03.192578+00:00,sensor_measurements,3750846324,28.55,51.0,14841.67,100900.55,75.9,288.06,26.31
1,_result,0,2026-06-30 15:54:00+00:00,2026-06-30 16:22:51.166903+00:00,2026-06-30 15:57:01.229638+00:00,sensor_measurements,3750846324,27.39,51.1,14673.33,100894.38,75.69,285.42,26.38
2,_result,0,2026-06-30 15:54:00+00:00,2026-06-30 16:22:51.166903+00:00,2026-06-30 15:58:59.357200+00:00,sensor_measurements,3750846324,26.52,50.58,14707.5,100894.33,76.03,282.79,26.44
3,_result,0,2026-06-30 15:54:00+00:00,2026-06-30 16:22:51.166903+00:00,2026-06-30 16:00:57.533879+00:00,sensor_measurements,3750846324,25.97,57.57,14583.33,100893.08,75.69,284.43,26.5
4,_result,0,2026-06-30 15:54:00+00:00,2026-06-30 16:22:51.166903+00:00,2026-06-30 16:02:55.928682+00:00,sensor_measurements,3750846324,26.14,61.56,14401.67,100897.77,75.69,282.74,26.5
5,_result,0,2026-06-30 15:54:00+00:00,2026-06-30 16:22:51.166903+00:00,2026-06-30 16:04:54.097554+00:00,sensor_measurements,3750846324,26.73,60.79,14355.83,100897.11,76.1,282.74,26.5
6,_result,0,2026-06-30 15:54:00+00:00,2026-06-30 16:22:51.166903+00:00,2026-06-30 16:06:52.284714+00:00,sensor_measurements,3750846324,27.47,58.06,14170.83,100891.75,75.69,285.75,26.5
7,_result,0,2026-06-30 15:54:00+00:00,2026-06-30 16:22:51.166903+00:00,2026-06-30 16:08:50.411014+00:00,sensor_measurements,3750846324,28.05,55.9,14059.17,100891.85,75.76,284.38,26.5
8,_result,0,2026-06-30 15:54:00+00:00,2026-06-30 16:22:51.166903+00:00,2026-06-30 16:10:48.565871+00:00,sensor_measurements,3750846324,28.45,54.57,13884.17,100888.02,75.63,282.41,26.56
9,_result,0,2026-06-30 15:54:00+00:00,2026-06-30 16:22:51.166903+00:00,2026-06-30 16:12:46.793971+00:00,sensor_measurements,3750846324,28.74,53.5,13665.0,100889.48,75.56,286.52,26.56
10,_result,0,2026-06-30 15:54:00+00:00,2026-06-30 16:22:51.166903+00:00,2026-06-30 16:14:45.105175+00:00,sensor_measurements,3750846324,28.82,52.25,13436.67,100888.34,75.49,284.28,26.62
11,_result,0,2026-06-30 15:54:00+00:00,2026-06-30 16:22:51.166903+00:00,2026-06-30 16:16:42.171445+00:00,sensor_measurements,3750846324,27.6,50.48,13216.67,100884.58,76.14,283.46,26.62
12,_result,0,2026-06-30 15:54:00+00:00,2026-06-30 16:22:51.166903+00:00,2026-06-30 16:18:40.339282+00:00,sensor_measurements,3750846324,26.85,50.17,12932.5,100886.19,76.27,284.22,26.69
13,_result,0,2026-06-30 15:54:00+00:00,2026-06-30 16:22:51.166903+00:00,2026-06-30 16:20:38.528020+00:00,sensor_measurements,3750846324,26.23,55.75,12587.5,100896.33,76.1,284.5,26.69
14,_result,0,2026-06-30 15:54:00+00:00,2026-06-30 16:22:51.166903+00:00,2026-06-30 16:22:36.770057+00:00,sensor_measurements,3750846324,26.36,59.32,12387.5,100902.88,76.1,282.31,26.69
